4800,0.297
16600,0.3736
4000,0.2949
12400,0.3713
2200,0.2858
8800,0.3644
23700,0.3786
23600,0.3786
1100,0.2527
30500,0.3814
23900,0.3787
12500,0.3713
8300,0.3641
26400,0.3805
4700,0.2964
7800,0.3628
900,0.2504
11200,0.37
5600,0.3027
8900,0.3644
13600,0.3722
4200,0.2952
25900,0.3805
22400,0.3772
4300,0.2952
1200,0.2543
1800,0.2607
15500,0.373
5800,0.3034
1300,0.2553
24400,0.3789
29400,0.381
9600,0.3649
6200,0.3048
9000,0.3644
36000,0.3853
18900,0.3767
28000,0.3809
26100,0.3805
35000,0.3846
38700,0.3856
12800,0.3713
2400,0.2884
36700,0.3853
15000,0.3729
100,0.2174
18400,0.3765
38600,0.3856
35300,0.3846
13300,0.3715
29700,0.381
17500,0.3744
35500,0.3846
25800,0.3805
23800,0.3787
3300,0.2945
3200,0.2945
31700,0.384
22200,0.3772
6100,0.3047
6900,0.3056
38000,0.3855
28400,0.3809
21100,0.3769
37000,0.3855
21500,0.377
14300,0.3728
1500,0.2575
36900,0.3855
15700,0.373
33100,0.3844
3000,0.2942
18800,0.3767
8200,0.3641
6400,0.3053
18100,0.3765
23100,0.3783
19300,0.3767
29900,0.3814
32400,0.3843
14600,0.3729
26700,0.3806
20700,0.3768
2700,0.2936
37100,0.3855
15400,0.373
36400,0.3853
25500,0.3804
8500,0.3642
22800,0.3773
25200,0.3791
4900,0.297
24900,0.379
39240,0.3857
32700,0.3843
37200,0.3855
10800,0.37
15200,0.373
27200,0.3808
30700,0.3834
14000,0.3727
22600,0.3773
5900,0.3034
200,0.2232
39000,0.3857
9400,0.3649
30100,0.3814
26300,0.3805
33600,0.3845
35400,0.3846
5400,0.2975
28100,0.3809
5700,0.3032
35600,0.3847
22100,0.3772
5200,0.2972
1700,0.2606
21400,0.377
24000,0.3788
8600,0.3642
19700,0.3768
27600,0.3809
21600,0.3771
30000,0.3814
800,0.2504
27500,0.3808
17400,0.3741
13200,0.3715
27700,0.3809
23000,0.3783
20600,0.3768
35700,0.3847
5500,0.2991
20500,0.3768
6000,0.3034
34100,0.3846
400,0.2467
25100,0.379
29100,0.3809
10700,0.37
3800,0.2948
27900,0.3809
12700,0.3713
23400,0.3785
20200,0.3768
12300,0.3708
33300,0.3845
15600,0.373
35100,0.3846
21200,0.3769
32300,0.3843
28800,0.3809
16100,0.3731
12100,0.3708
9800,0.365
11100,0.37
11700,0.37
16000,0.3731
24500,0.3789
14700,0.3729
27800,0.3809
23300,0.3785
9200,0.3647
21800,0.3772
14400,0.3728
6500,0.3053
8100,0.3641
9300,0.3648
4400,0.2953
20100,0.3768
26800,0.3806
3900,0.2948
2000,0.2855
34700,0.3846
29000,0.3809
2600,0.2936
8400,0.3641
35900,0.3853
16400,0.3734
37800,0.3855
17300,0.3741
9100,0.3644
7300,0.3095
31800,0.384
32900,0.3843
39200,0.3857
32500,0.3843
37300,0.3855
21300,0.377
34800,0.3846
19600,0.3768
36600,0.3853
36500,0.3853
32100,0.3843
10400,0.3677
15300,0.373
19800,0.3768
20000,0.3768
4600,0.2955
26000,0.3805
31300,0.3835
22300,0.3772
15100,0.3729
20800,0.3769
30400,0.3814
29200,0.381
6800,0.3054
28700,0.3809
7100,0.3059
29300,0.381
26500,0.3806
1000,0.2516
3500,0.2945
25400,0.3801
5000,0.297
23200,0.3783
17900,0.3765
7400,0.311
38300,0.3855
2500,0.2935
16500,0.3735
27000,0.3806
31500,0.384
16800,0.3737
33000,0.3844
18500,0.3766
33400,0.3845
24800,0.379
28900,0.3809
7200,0.306
25300,0.3801
19000,0.3767
20300,0.3768
34400,0.3846
19500,0.3768
9700,0.3649
700,0.2503
16700,0.3737
39100,0.3857
12600,0.3713
14900,0.3729
16300,0.3732
25000,0.379
13000,0.3713
23500,0.3785
17200,0.3737
19900,0.3768
25600,0.3805
19400,0.3767
1600,0.2577
12900,0.3713
27100,0.3808
18700,0.3767
1900,0.2853
34000,0.3846
13700,0.3722
38900,0.3856
22700,0.3773
1400,0.2564
2100,0.2857
9500,0.3649
13900,0.3725
4100,0.2949
17000,0.3737
29500,0.381
31600,0.384
32200,0.3843
3400,0.2945
31000,0.3834
10900,0.37
31400,0.3835
22000,0.3772
22500,0.3773
30900,0.3834
3700,0.2948
28300,0.3809
20400,0.3768
20900,0.3769
21900,0.3772
11300,0.37
13500,0.3721
24600,0.379
11900,0.3701
10200,0.3675
19200,0.3767
19100,0.3767
24200,0.3788
33700,0.3845
24700,0.379
7700,0.3111
33800,0.3845
32600,0.3843
6600,0.3054
18600,0.3766
2300,0.2862
13800,0.3724
28600,0.3809
37700,0.3855
2800,0.2941
17800,0.375
4500,0.2953
14100,0.3727
16900,0.3737
34600,0.3846
